driverId,year,points,wins,age,normalized_points,races_in_season,points_per_race,normalized_points_per_race,age_group
24,2010,21.0,0,29.404517453798768,0.84,19,1.105263157894737,0.04421052631578947,25–30
24,2011,0.0,0,30.403832991101986,0.0,19,0.0,0.0,30–35
25,1997,4.0,0,22.87748117727584,0.4,17,0.23529411764705882,0.023529411764705882,<25
25,1998,17.0,0,23.876796714579054,1.7,16,1.0625,0.10625,<25
25,1999,3.0,0,24.876112251882272,0.3,16,0.1875,0.01875,<25
25,2000,2.0,0,25.87542778918549,0.2,17,0.11764705882352941,0.011764705882352941,25–30
25,2005,6.0,0,30.87748117727584,0.6,19,0.3157894736842105,0.031578947368421054,30–35
25,2007,13.0,0,32.876112251882276,1.3,17,0.7647058823529411,0.07647058823529412,30–35
26,2006,0.0,0,22.937713894592743,0.0,18,0.0,0.0,<25
26,2007,0.0,0,23.93702943189596,0.0,17,0.0,0.0,<25
27,2005,4.0,0,25.713894592744694,0.4,19,0.21052631578947367,0.021052631578947368,25–30
27,2006,0.0,0,26.713210130047912,0.0,18,0.0,0.0,25–30
27,2007,0.0,0,27.71252566735113,0.0,17,0.0,0.0,25–30
28,2007,0.0,0,26.55167693360712,0.0,17,0.0,0.0,25–30
29,2006,0.0,0,23.482546201232033,0.0,18,0.0,0.0,<25
29,2007,0.0,0,24.48186173853525,0.0,17,0.0,0.0,<25
29,2010,0.0,0,27.482546201232033,0.0,19,0.0,0.0,25–30
30,1991,4.0,0,21.99315537303217,0.4,16,0.25,0.025,<25
30,1992,53.0,1,22.99247091033539,5.3,16,3.3125,0.33125,<25
30,1993,52.0,1,23.994524298425734,5.2,16,3.25,0.325,<25
30,1994,92.0,8,24.993839835728952,9.2,16,5.75,0.575,<25
30,1995,102.0,9,25.99315537303217,10.2,17,6.0,0.6,25–30
30,1996,59.0,3,26.99247091033539,5.9,16,3.6875,0.36875,25–30
30,1997,78.0,5,27.994524298425734,7.8,17,4.588235294117647,0.4588235294117647,25–30
30,1998,86.0,6,28.993839835728952,8.6,16,5.375,0.5375,25–30
30,1999,44.0,2,29.99315537303217,4.4,16,2.75,0.275,25–30
30,2000,108.0,9,30.99247091033539,10.8,17,6.352941176470588,0.6352941176470589,30–35
30,2001,123.0,9,31.99452429842573,12.3,17,7.235294117647059,0.723529411764706,30–35
30,2002,144.0,11,32.993839835728956,14.4,17,8.470588235294118,0.8470588235294118,30–35
30,2003,93.0,6,33.99315537303217,9.3,16,5.8125,0.58125,30–35
30,2004,148.0,13,34.992470910335385,14.8,18,8.222222222222221,0.8222222222222223,30–35
30,2005,62.0,1,35.99452429842574,6.2,19,3.263157894736842,0.3263157894736842,35–40
30,2006,121.0,7,36.993839835728956,12.1,18,6.722222222222222,0.6722222222222222,35–40
30,2010,72.0,0,40.993839835728956,2.88,19,3.789473684210526,0.15157894736842104,40+
30,2011,76.0,0,41.99315537303217,3.04,19,4.0,0.16,40+
30,2012,49.0,0,42.992470910335385,1.96,20,2.45,0.098,40+
31,2001,31.0,1,25.284052019164957,3.1,17,1.8235294117647058,0.1823529411764706,25–30
31,2002,50.0,0,26.28336755646817,5.0,17,2.9411764705882355,0.29411764705882354,25–30
31,2003,82.0,2,27.28268309377139,8.2,16,5.125,0.5125,25–30
31,2004,58.0,1,28.281998631074607,5.8,18,3.2222222222222223,0.3222222222222222,25–30
31,2005,60.0,3,29.284052019164957,6.0,19,3.1578947368421053,0.3157894736842105,25–30
31,2006,26.0,0,30.28336755646817,2.6,18,1.4444444444444444,0.14444444444444446,30–35
32,2004,3.0,0,20.89801505817933,0.3,18,0.16666666666666666,0.016666666666666666,<25
32,2005,9.0,0,21.900068446269678,0.9,19,0.47368421052631576,0.04736842105263158,<25
32,2006,2.0,0,22.899383983572896,0.2,18,0.1111111111111111,0.011111111111111112,<25
32,2010,0.0,0,26.899383983572893,0.0,19,0.0,0.0,25–30
33,2005,7.0,0,28.44079397672827,0.7,19,0.3684210526315789,0.03684210526315789,25–30
33,2006,0.0,0,29.44010951403148,0.0,18,0.0,0.0,25–30
34,2006,0.0,0,30.94592744695414,0.0,18,0.0,0.0,30–35
35,1996,78.0,4,24.73100616016427,7.8,16,4.875,0.4875,<25
35,1997,81.0,7,25.73305954825462,8.1,17,4.764705882352941,0.4764705882352941,25–30
